Town,County,Observed|2006,Observed|2011,Observed|2016,Projected|2021,Projected|2026,Projected|2031,Projected|2036,Projected|2006-2011,Projected|2011-2016,Projected|2016-2021,Projected|2021-2026,Projected|2026-2031,Projected|2031-2036,Percent change|2016-2036
Bowdoin, Sagadahoc,"2,983","3,076","3,127","3,190","3,250","3,297","3,332",3.10%,1.70%,2.00%,1.90%,1.40%,1.10%,6.60%
Bowdoinham, Sagadahoc,"2,838","2,882","2,924","2,969","3,013","3,045","3,068",1.60%,1.50%,1.50%,1.50%,1.10%,0.80%,4.90%
Georgetown, Sagadahoc,"1,052","1,035","1,043","1,048","1,054","1,057","1,056",-1.60%,0.80%,0.50%,0.60%,0.30%,-0.10%,1.20%
Phippsburg, Sagadahoc,"2,212","2,213","2,230","2,256","2,277","2,289","2,293",0.00%,0.80%,1.20%,0.90%,0.50%,0.20%,2.80%
Richmond, Sagadahoc,"3,427","3,393","3,399","3,407","3,413","3,407","3,389",-1.00%,0.20%,0.20%,0.20%,-0.20%,-0.50%,-0.30%
Topsham, Sagadahoc,"9,066","8,720","8,734","8,754","8,768","8,749","8,700",-3.80%,0.20%,0.20%,0.20%,-0.20%,-0.60%,-0.40%
West Bath, Sagadahoc,"1,877","1,883","1,889","1,908","1,922","1,928","1,928",0.30%,0.30%,1.00%,0.70%,0.30%,0.00%,2.10%
Woolwich, Sagadahoc,"3,035","3,063","3,063","3,081","3,089","3,085","3,071",0.90%,0.00%,0.60%,0.30%,-0.10%,-0.50%,0.30%
Anson, Somerset,"2,561","2,491","2,411","2,324","2,247","2,174","2,104",-2.70%,-3.20%,-3.60%,-3.30%,-3.20%,-3.20%,-12.70%
Athens, Somerset,962,"1,011",982,950,921,895,869,5.10%,-2.90%,-3.30%,-3.10%,-2.80%,-2.90%,-11.50%
Bingham, Somerset,956,913,911,902,895,890,884,-4.50%,-0.20%,-1.00%,-0.80%,-0.60%,-0.70%,-3.00%
Brighton plantation, Somerset,78,69,67,65,63,61,59,-11.50%,-2.90%,-3.00%,-3.10%,-3.20%,-3.30%,-11.90%
Cambridge, Somerset,478,462,450,437,426,415,405,-3.30%,-2.60%,-2.90%,-2.50%,-2.60%,-2.40%,-10.00%
Canaan, Somerset,"2,201","2,257","2,188","2,109","2,040","1,976","1,914",2.50%,-3.10%,-3.60%,-3.30%,-3.10%,-3.10%,-12.50%
Caratunk, Somerset,84,68,66,63,61,59,57,-19.00%,-2.90%,-4.50%,-3.20%,-3.30%,-3.40%,-13.60%
Central Somerset UT, Somerset,339,335,326,316,307,298,290,-1.20%,-2.70%,-3.10%,-2.80%,-2.90%,-2.70%,-11.00%
Cornville, Somerset,"1,287","1,311","1,342","1,353","1,373","1,393","1,411",1.90%,2.40%,0.80%,1.50%,1.50%,1.30%,5.10%
Dennistown plantation, Somerset,30,33,32,31,30,29,28,10.00%,-3.00%,-3.10%,-3.20%,-3.30%,-3.40%,-12.50%
Detroit, Somerset,847,845,826,800,778,758,739,-0.20%,-2.20%,-3.10%,-2.80%,-2.60%,-2.50%,-10.50%
Embden, Somerset,925,943,939,934,930,927,923,1.90%,-0.40%,-0.50%,-0.40%,-0.30%,-0.40%,-1.70%
Fairfield, Somerset,"6,737","6,703","6,570","6,416","6,282","6,158","6,037",-0.50%,-2.00%,-2.30%,-2.10%,-2.00%,-2.00%,-8.10%
Harmony, Somerset,953,932,904,873,846,821,797,-2.20%,-3.00%,-3.40%,-3.10%,-3.00%,-2.90%,-11.80%
Hartland, Somerset,"1,811","1,769","1,728","1,680","1,638","1,599","1,561",-2.30%,-2.30%,-2.80%,-2.50%,-2.40%,-2.40%,-9.70%
Highland plantation, Somerset,66,72,70,67,65,63,61,9.10%,-2.80%,-4.30%,-3.00%,-3.10%,-3.20%,-12.90%
Jackman, Somerset,815,856,823,792,762,734,707,5.00%,-3.90%,-3.80%,-3.80%,-3.70%,-3.70%,-14.10%
Madison, Somerset,"4,768","4,821","4,695","4,556","4,432","4,316","4,203",1.10%,-2.60%,-3.00%,-2.70%,-2.60%,-2.60%,-10.50%
Mercer, Somerset,665,660,640,618,599,581,563,-0.80%,-3.00%,-3.40%,-3.10%,-3.00%,-3.10%,-12.00%
Moose River, Somerset,222,216,211,203,197,192,187,-2.70%,-2.30%,-3.80%,-3.00%,-2.50%,-2.60%,-11.40%
Moscow, Somerset,542,516,503,491,480,470,460,-4.80%,-2.50%,-2.40%,-2.20%,-2.10%,-2.10%,-8.50%
New Portland, Somerset,752,712,690,666,645,625,606,-5.30%,-3.10%,-3.50%,-3.20%,-3.10%,-3.00%,-12.20%
Norridgewock, Somerset,"3,374","3,342","3,242","3,129","3,030","2,938","2,848",-0.90%,-3.00%,-3.50%,-3.20%,-3.00%,-3.10%,-12.20%
Northeast Somerset UT, Somerset,379,388,377,365,355,345,335,2.40%,-2.80%,-3.20%,-2.70%,-2.80%,-2.90%,-11.10%
Northwest Somerset UT, Somerset,57,62,60,58,56,55,53,8.80%,-3.20%,-3.30%,-3.40%,-1.80%,-3.60%,-11.70%
Palmyra, Somerset,"1,994","1,983","1,948","1,905","1,870","1,837","1,805",-0.60%,-1.80%,-2.20%,-1.80%,-1.80%,-1.70%,-7.30%
Pittsfield, Somerset,"4,238","4,189","4,031","3,866","3,715","3,574","3,438",-1.20%,-3.80%,-4.10%,-3.90%,-3.80%,-3.80%,-14.70%
Pleasant Ridge plantation, Somerset,89,92,89,86,83,81,78,3.40%,-3.30%,-3.40%,-3.50%,-2.40%,-3.70%,-12.40%
Ripley, Somerset,478,487,474,464,453,443,433,1.90%,-2.70%,-2.10%,-2.40%,-2.20%,-2.30%,-8.60%
Seboomook Lake UT, Somerset,47,47,45,43,41,39,38,0.00%,-4.30%,-4.40%,-4.70%,-4.90%,-2.60%,-15.60%
Skowhegan, Somerset,"8,759","8,529","8,283","8,000","7,755","7,526","7,304",-2.60%,-2.90%,-3.40%,-3.10%,-3.00%,-2.90%,-11.80%
Smithfield, Somerset,"1,003","1,026","1,003",972,946,922,898,2.30%,-2.20%,-3.10%,-2.70%,-2.50%,-2.60%,-10.50%
Solon, Somerset,"1,021","1,059","1,057","1,052","1,049","1,047","1,044",3.70%,-0.20%,-0.50%,-0.30%,-0.20%,-0.30%,-1.20%
St. Albans, Somerset,"1,961","1,993","1,956","1,896","1,851","1,810","1,769",1.60%,-1.90%,-3.10%,-2.40%,-2.20%,-2.30%,-9.60%
Starks, Somerset,623,636,630,621,614,608,601,2.10%,-0.90%,-1.40%,-1.10%,-1.00%,-1.20%,-4.60%
The Forks plantation, Somerset,37,37,36,35,34,33,32,0.00%,-2.70%,-2.80%,-2.90%,-2.90%,-3.00%,-11.10%
West Forks plantation, Somerset,56,60,58,56,54,52,50,7.10%,-3.30%,-3.40%,-3.60%,-3.70%,-3.80%,-13.80%
Belfast, Waldo,"6,739","6,655","6,718","6,707","6,684","6,629","6,552",-1.20%,0.90%,-0.20%,-0.30%,-0.80%,-1.20%,-2.50%
Belmont, Waldo,916,937,920,899,872,842,808,2.30%,-1.80%,-2.30%,-3.00%,-3.40%,-4.00%,-12.20%
Brooks, Waldo,"1,082","1,082","1,111","1,135","1,155","1,169","1,179",0.00%,2.70%,2.20%,1.80%,1.20%,0.90%,6.10%
Burnham, Waldo,"1,181","1,170","1,202","1,230","1,252","1,268","1,280",-0.90%,2.70%,2.30%,1.80%,1.30%,0.90%,6.50%
Frankfort, Waldo,"1,117","1,130","1,156","1,175","1,190","1,199","1,205",1.20%,2.30%,1.60%,1.30%,0.80%,0.50%,4.20%
Freedom, Waldo,706,723,728,733,733,730,724,2.40%,0.70%,0.70%,0.00%,-0.40%,-0.80%,-0.50%
Islesboro, Waldo,593,566,566,563,558,549,539,-4.60%,0.00%,-0.50%,-0.90%,-1.60%,-1.80%,-4.80%
Jackson, Waldo,544,551,565,578,588,596,601,1.30%,2.50%,2.30%,1.70%,1.40%,0.80%,6.40%
Knox, Waldo,802,801,799,791,780,764,747,-0.10%,-0.20%,-1.00%,-1.40%,-2.10%,-2.20%,-6.50%
Liberty, Waldo,937,919,945,968,986,"1,000","1,011",-1.90%,2.80%,2.40%,1.90%,1.40%,1.10%,7.00%
Lincolnville, Waldo,"2,161","2,165","2,215","2,255","2,283","2,301","2,312",0.20%,2.30%,1.80%,1.20%,0.80%,0.50%,4.40%
Monroe, Waldo,905,894,918,937,953,964,972,-1.20%,2.70%,2.10%,1.70%,1.20%,0.80%,5.90%
Montville, Waldo,"1,043","1,039","1,067","1,091","1,110","1,124","1,135",-0.40%,2.70%,2.20%,1.70%,1.30%,1.00%,6.40%
Morrill, Waldo,863,881,881,874,864,849,832,2.10%,0.00%,-0.80%,-1.10%,-1.70%,-2.00%,-5.60%
Northport, Waldo,"1,478","1,523","1,560","1,587","1,609","1,623","1,631",3.00%,2.40%,1.70%,1.40%,0.90%,0.50%,4.60%
Palermo, Waldo,"1,450","1,534","1,532","1,524","1,507","1,483","1,454",5.80%,-0.10%,-0.50%,-1.10%,-1.60%,-2.00%,-5.10%
Prospect, Waldo,699,713,728,743,754,761,766,2.00%,2.10%,2.10%,1.50%,0.90%,0.70%,5.20%
Searsmont, Waldo,"1,339","1,391","1,402","1,409","1,406","1,396","1,381",3.90%,0.80%,0.50%,-0.20%,-0.70%,-1.10%,-1.50%
Searsport, Waldo,"2,683","2,631","2,647","2,666","2,665","2,651","2,628",-1.90%,0.60%,0.70%,0.00%,-0.50%,-0.90%,-0.70%
Stockton Springs, Waldo,"1,584","1,587","1,610","1,620","1,625","1,623","1,616",0.20%,1.40%,0.60%,0.30%,-0.10%,-0.40%,0.40%
Swanville, Waldo,"1,403","1,382","1,367","1,343","1,313","1,277","1,236",-1.50%,-1.10%,-1.80%,-2.20%,-2.70%,-3.20%,-9.60%
Thorndike, Waldo,844,885,891,886,879,867,853,4.90%,0.70%,-0.60%,-0.80%,-1.40%,-1.60%,-4.30%
Troy, Waldo,"1,030","1,030","1,040","1,050","1,051","1,047","1,039",0.00%,1.00%,1.00%,0.10%,-0.40%,-0.80%,-0.10%
Unity, Waldo,"2,118","2,093","2,125","2,146","2,158","2,160","2,156",-1.20%,1.50%,1.00%,0.60%,0.10%,-0.20%,1.50%
Waldo, Waldo,765,783,847,912,972,"1,028","1,080",2.40%,8.20%,7.70%,6.60%,5.80%,5.10%,27.50%
Winterport, Waldo,"3,781","3,781","3,885","3,975","4,048","4,102","4,143",0.00%,2.80%,2.30%,1.80%,1.30%,1.00%,6.60%
Addison, Washington,"1,248","1,267","1,248","1,249","1,252","1,251","1,245",1.50%,-1.50%,0.10%,0.20%,-0.10%,-0.50%,-0.20%
Alexander, Washington,508,501,485,482,478,471,463,-1.40%,-3.20%,-0.60%,-0.80%,-1.50%,-1.70%,-4.50%
Baileyville, Washington,"1,589","1,512","1,455","1,438","1,415","1,387","1,356",-4.80%,-3.80%,-1.20%,-1.60%,-2.00%,-2.20%,-6.80%
Baring plantation, Washington,259,249,238,232,226,220,213,-3.90%,-4.40%,-2.50%,-2.60%,-2.70%,-3.20%,-10.50%
Beals, Washington,551,505,494,496,495,492,488,-8.30%,-2.20%,0.40%,-0.20%,-0.60%,-0.80%,-1.20%
Beddington, Washington,42,50,48,47,46,45,44,19.00%,-4.00%,-2.10%,-2.10%,-2.20%,-2.20%,-8.30%
Calais, Washington,"3,249","3,104","2,991","2,947","2,898","2,838","2,773",-4.50%,-3.60%,-1.50%,-1.70%,-2.10%,-2.30%,-7.30%
Charlotte, Washington,330,329,316,310,303,296,288,-0.30%,-4.00%,-1.90%,-2.30%,-2.30%,-2.70%,-8.90%
Cherryfield, Washington,"1,208","1,224","1,165","1,135","1,104","1,068","1,031",1.30%,-4.80%,-2.60%,-2.70%,-3.30%,-3.50%,-11.50%
Codyville plantation, Washington,22,24,23,22,22,21,20,9.10%,-4.20%,-4.30%,0.00%,-4.50%,-4.80%,-13.00%
Columbia, Washington,478,482,461,450,439,426,413,0.80%,-4.40%,-2.40%,-2.40%,-3.00%,-3.10%,-10.40%
Columbia Falls, Washington,577,555,536,532,526,517,507,-3.80%,-3.40%,-0.70%,-1.10%,-1.70%,-1.90%,-5.40%
Cooper, Washington,151,153,146,142,138,134,130,1.30%,-4.60%,-2.70%,-2.80%,-2.90%,-3.00%,-11.00%
Crawford, Washington,105,100,97,95,94,92,90,-4.80%,-3.00%,-2.10%,-1.10%,-2.10%,-2.20%,-7.20%
Cutler, Washington,553,507,496,493,491,487,481,-8.30%,-2.20%,-0.60%,-0.40%,-0.80%,-1.20%,-3.00%
Danforth, Washington,606,592,574,573,570,565,558,-2.30%,-3.00%,-0.20%,-0.50%,-0.90%,-1.20%,-2.80%
Deblois, Washington,56,57,54,52,51,49,47,1.80%,-5.30%,-3.70%,-1.90%,-3.90%,-4.10%,-13.00%
Dennysville, Washington,335,343,329,327,322,316,310,2.40%,-4.10%,-0.60%,-1.50%,-1.90%,-1.90%,-5.80%
East Central Washington UT, Washington,737,722,690,672,655,635,614,-2.00%,-4.40%,-2.60%,-2.50%,-3.10%,-3.30%,-11.00%
East Machias, Washington,"1,345","1,361","1,302","1,277","1,250","1,218","1,184",1.20%,-4.30%,-1.90%,-2.10%,-2.60%,-2.80%,-9.10%
Eastport, Washington,"1,450","1,321","1,266","1,241","1,214","1,183","1,149",-8.90%,-4.20%,-2.00%,-2.20%,-2.60%,-2.90%,-9.20%
Grand Lake Stream plantation, Washington,125,108,104,102,100,97,94,-13.60%,-3.70%,-1.90%,-2.00%,-3.00%,-3.10%,-9.60%
Harrington, Washington,961,999,961,945,928,908,886,4.00%,-3.80%,-1.70%,-1.80%,-2.20%,-2.40%,-7.80%
Jonesboro, Washington,589,587,578,579,581,580,578,-0.30%,-1.50%,0.20%,0.30%,-0.20%,-0.30%,0.00%
Jonesport, Washington,"1,387","1,369","1,330","1,319","1,308","1,292","1,273",-1.30%,-2.80%,-0.80%,-0.80%,-1.20%,-1.50%,-4.30%
Lubec, Washington,"1,478","1,348","1,262","1,217","1,167","1,113","1,058",-8.80%,-6.40%,-3.60%,-4.10%,-4.60%,-4.90%,-16.20%
Machias, Washington,"2,259","2,204","2,105","2,054","2,002","1,943","1,881",-2.40%,-4.50%,-2.40%,-2.50%,-2.90%,-3.20%,-10.60%
Machiasport, Washington,"1,130","1,116","1,078","1,065","1,051","1,032","1,011",-1.20%,-3.40%,-1.20%,-1.30%,-1.80%,-2.00%,-6.20%
Marshfield, Washington,512,521,510,512,512,510,506,1.80%,-2.10%,0.40%,0.00%,-0.40%,-0.80%,-0.80%
Meddybemps, Washington,155,156,148,143,138,133,128,0.60%,-5.10%,-3.40%,-3.50%,-3.60%,-3.80%,-13.50%
Milbridge, Washington,"1,328","1,349","1,296","1,280","1,259","1,232","1,204",1.60%,-3.90%,-1.20%,-1.60%,-2.10%,-2.30%,-7.10%
North Washington UT, Washington,517,495,475,466,456,444,432,-4.30%,-4.00%,-1.90%,-2.10%,-2.60%,-2.70%,-9.10%
Northfield, Washington,142,147,140,136,132,128,123,3.50%,-4.80%,-2.90%,-2.90%,-3.00%,-3.90%,-12.10%
Passamaquoddy Indian Township Reservation, Washington,708,712,683,669,654,637,619,0.60%,-4.10%,-2.00%,-2.20%,-2.60%,-2.80%,-9.40%
Passamaquoddy Pleasant Point Reservation, Washington,712,743,713,699,684,667,648,4.40%,-4.00%,-2.00%,-2.10%,-2.50%,-2.80%,-9.10%
Pembroke, Washington,855,832,793,769,747,721,695,-2.70%,-4.70%,-3.00%,-2.90%,-3.50%,-3.60%,-12.40%
Perry, Washington,875,906,932,"1,002","1,056","1,103","1,145",3.50%,2.90%,7.50%,5.40%,4.50%,3.80%,22.90%
Princeton, Washington,858,827,792,774,757,736,715,-3.60%,-4.20%,-2.30%,-2.20%,-2.80%,-2.90%,-9.70%
Robbinston, Washington,558,571,553,545,538,529,519,2.30%,-3.20%,-1.40%,-1.30%,-1.70%,-1.90%,-6.10%
Roque Bluffs, Washington,289,301,292,290,288,284,280,4.20%,-3.00%,-0.70%,-0.70%,-1.40%,-1.40%,-4.10%
Steuben, Washington,"1,133","1,126","1,109","1,108","1,110","1,107","1,100",-0.60%,-1.50%,-0.10%,0.20%,-0.30%,-0.60%,-0.80%
Talmadge, Washington,67,63,61,59,58,56,55,-6.00%,-3.20%,-3.30%,-1.70%,-3.40%,-1.80%,-9.80%
Topsfield, Washington,233,235,226,221,217,212,206,0.90%,-3.80%,-2.20%,-1.80%,-2.30%,-2.80%,-8.80%
Vanceboro, Washington,143,139,134,131,128,125,122,-2.80%,-3.60%,-2.20%,-2.30%,-2.30%,-2.40%,-9.00%
Waite, Washington,103,100,96,93,91,88,85,-2.90%,-4.00%,-3.10%,-2.20%,-3.30%,-3.40%,-11.50%
Wesley, Washington,104,97,93,90,88,85,82,-6.70%,-4.10%,-3.20%,-2.20%,-3.40%,-3.50%,-11.80%
Whiting, Washington,467,488,478,482,483,483,481,4.50%,-2.00%,0.80%,0.20%,0.00%,-0.40%,0.60%
Whitneyville, Washington,236,218,210,207,203,198,192,-7.60%,-3.70%,-1.40%,-1.90%,-2.50%,-3.00%,-8.60%
Acton, York,"2,384","2,482","2,567","2,693","2,809","2,913","3,000",4.10%,3.40%,4.90%,4.30%,3.70%,3.00%,16.90%
Alfred, York,"2,908","3,040","3,063","3,121","3,168","3,196","3,204",4.50%,0.80%,1.90%,1.50%,0.90%,0.30%,4.60%
Arundel, York,"3,929","4,072","4,205","4,394","4,569","4,723","4,851",3.60%,3.30%,4.50%,4.00%,3.40%,2.70%,15.40%
Berwick, York,"7,076","7,349","7,584","7,918","8,224","8,491","8,712",3.90%,3.20%,4.40%,3.90%,3.20%,2.60%,14.90%
Biddeford, York,"21,736","21,310","21,426","21,738","21,974","22,081","22,045",-2.00%,0.50%,1.50%,1.10%,0.50%,-0.20%,2.90%
Buxton, York,"7,979","8,060","8,185","8,361","8,527","8,647","8,713",1.00%,1.60%,2.20%,2.00%,1.40%,0.80%,6.50%
Cornish, York,"1,383","1,411","1,414","1,438","1,453","1,459","1,456",2.00%,0.20%,1.70%,1.00%,0.40%,-0.20%,3.00%
Dayton, York,"1,953","1,995","2,028","2,096","2,154","2,202","2,236",2.20%,1.70%,3.40%,2.80%,2.20%,1.50%,10.30%
Eliot, York,"6,244","6,235","6,423","6,593","6,792","6,957","7,082",-0.10%,3.00%,2.60%,3.00%,2.40%,1.80%,10.30%
Hollis, York,"4,307","4,311","4,508","4,723","4,948","5,152","5,329",0.10%,4.60%,4.80%,4.80%,4.10%,3.40%,18.20%
Kennebunk, York,"10,944","10,881","11,283","11,820","12,320","12,764","13,140",-0.60%,3.70%,4.80%,4.20%,3.60%,2.90%,16.50%
Kennebunkport, York,"3,643","3,493","3,571","3,688","3,795","3,882","3,946",-4.10%,2.20%,3.30%,2.90%,2.30%,1.60%,10.50%
Kittery, York,"9,729","9,526","9,634","9,896","10,085","10,219","10,290",-2.10%,1.10%,2.70%,1.90%,1.30%,0.70%,6.80%
Lebanon, York,"5,796","6,069","6,200","6,362","6,519","6,643","6,726",4.70%,2.20%,2.60%,2.50%,1.90%,1.20%,8.50%
Limerick, York,"2,704","2,910","2,914","2,952","2,979","2,987","2,976",7.60%,0.10%,1.30%,0.90%,0.30%,-0.40%,2.10%
Limington, York,"3,644","3,734","3,779","3,867","3,941","3,993","4,020",2.50%,1.20%,2.30%,1.90%,1.30%,0.70%,6.40%
Lyman, York,"4,232","4,362","4,403","4,468","4,527","4,561","4,565",3.10%,0.90%,1.50%,1.30%,0.80%,0.10%,3.70%
Newfield, York,"1,479","1,532","1,568","1,623","1,672","1,712","1,742",3.60%,2.30%,3.50%,3.00%,2.40%,1.80%,11.10%
North Berwick, York,"4,554","4,601","4,660","4,767","4,859","4,925","4,961",1.00%,1.30%,2.30%,1.90%,1.40%,0.70%,6.50%
Ogunquit, York,"1,027",902,916,943,966,983,994,-12.20%,1.60%,2.90%,2.40%,1.80%,1.10%,8.50%
Old Orchard Beach, York,"8,899","8,639","8,784","9,001","9,199","9,347","9,439",-2.90%,1.70%,2.50%,2.20%,1.60%,1.00%,7.50%
Parsonsfield, York,"1,819","1,900","1,933","1,976","2,018","2,049","2,067",4.50%,1.70%,2.20%,2.10%,1.50%,0.90%,6.90%
Saco, York,"18,287","18,639","19,232","20,005","20,738","21,372","21,887",1.90%,3.20%,4.00%,3.70%,3.10%,2.40%,13.80%
Sanford, York,"21,263","20,845","20,944","21,223","21,435","21,518","21,462",-2.00%,0.50%,1.30%,1.00%,0.40%,-0.30%,2.50%
Shapleigh, York,"2,590","2,672","2,702","2,747","2,789","2,816","2,825",3.20%,1.10%,1.70%,1.50%,1.00%,0.30%,4.60%
South Berwick, York,"7,194","7,251","7,409","7,630","7,843","8,017","8,143",0.80%,2.20%,3.00%,2.80%,2.20%,1.60%,9.90%
Waterboro, York,"7,289","7,720","7,773","7,874","7,963","8,004","7,995",5.90%,0.70%,1.30%,1.10%,0.50%,-0.10%,2.90%
Wells, York,"9,730","9,675","10,148","10,733","11,306","11,833","12,300",-0.60%,4.90%,5.80%,5.30%,4.70%,3.90%,21.20%
York, York,"12,913","12,591","12,967","13,414","13,863","14,244","14,544",-2.50%,3.00%,3.40%,3.30%,2.70%,2.10%,12.20%

*Locations with fewer than 5 people in all three observation years have been removed from the final projections. Totals may not equal county totals.,,,,,,,,,,,,,,,
