,names,type,urls,status,owner/org_type,address,owner_or_clerk,filing_date
189,MAINELY FLOATS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20083821DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"4 HEMLOCK STREET , OLD ORCHARD BEACH, ME 04064",ALAN J. GRAVES,06/06/2008
190,"MAINELY FLOORS BY GEORGE, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20100152+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"P.O. BOX 539 , BREWER, ME 04412",GEORGE LOGAN,08/11/2009
191,MAINELY FOLK PRODUCTIONS,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19890504ND,DISSOLVED,NONPROFIT CORPORATION       (T13-B),"118 BRIGHAM STREET , SOUTH PORTLAND, ME 04106",PENELOPE J. CARY,04/20/1989
192,"MAINELY FOOD & FUEL, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20070471+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"1 CHAMBERLAIN STREET , BREWER, ME 04412","DEBORAH DEANE, PRESIDENT",10/04/2006
193,"MAINELY FOUNDATIONS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20144129DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"P.O. BOX 597,   ,  PORTLAND, ME 04112",TIMOTHY H. NORTON,05/02/2014
194,"MAINELY FRAMES & GALLERY, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19961212+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"P.O. BOX 4729 , PORTLAND, ME 04112 4729",WILLIAM B. JORDAN,12/18/1995
195,MAINELY FRIENDS,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19881002+D,DISSOLVED,BUSINESS CORPORATION,"P.O. BOX 251 , WESTERN AVENUE, AUGUSTA, ME 04330",RICHARD VERVILLE,12/02/1987
196,MAINELY FUN CHILDERNS GYM LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20191612DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"7 BROWNS FREEHOLD , YORK, ME 03909",PATRICIA MELANSON,09/17/2018
197,"COMMUNITY ENRICH-MENT MATTERS, ENRICH-ME, EMPOWER-ME, COMMUNITY TREASURES, WISDOM CARE, HEALTHY MATTERS, MAINELY GIFTED, REACH-4 WELLNESS, COMMUNITY",MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20020147+M,EXPIRED,CORPORATION,"HC 62, BOX 33,  HAMLIN ROAD, VAN BUREN, ME 04785","COMMUNITY ENRICH-MENT MATTERS, INC.",01/25/2002
198,MAINE-LY GULLS AND BUOYS,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=19990150+M,EXPIRED,INDIVIDUAL,"BAY ROAD, JONESPORT, ME 04649",ROBERTA M. KELLY,11/03/1998
199,"MAINE-LY GYMNASTICS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20012629+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"RR 7 BOX 1456 , FARMINGDALE, ME 04344",BECKY B. DOHERTY,06/27/2001
200,"MAINE-LY GYMNASTICS, INC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20120160+D,GOOD STANDING,BUSINESS CORPORATION,"152 COUILLARD ROAD , PALERMO, ME 04354",MATTHEW W. EVANS,08/18/2011
201,MAINELY GAMES,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20160181+M,ACTIVE,INDIVIDUAL,"""351 EMERYS BRIDGE ROAD "", SO. BERWICK, ME 03908",RITA M. BARR,06/27/2016
202,"MAINELY GEMS AND JEWELRY, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20100517+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"C/O CORPORATION SERVICE COMPANY , 45 MEMORIAL CIRCLE, AUGUSTA, ME 04330",SEVERIN M. BELIVEAU,12/29/2009
203,MAINELY GENETICS LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20172899DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"207 WATER STREET , WATERVILLE, ME 04901",LUKE DUPLESSIS,12/14/2016
204,MAINELY GIFTED,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20020118ND,EXCUSED,NONPROFIT CORPORATION       (T13-B),"HC 62, BOX 33 , HAMLIN ROAD, VAN BUREN, ME 04785",LISA M. PARENT,09/14/2001
205,MAINELY GIRLS,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20000406ND,GOOD STANDING,NONPROFIT CORPORATION       (T13-B),"C/O UMPI SOUTH HALL , 181 MAIN STREET, PRESQUE ISLE, ME 04769",CAROL AYOOB,04/07/2000
206,"MAINELY GLAMPING, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20171817DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"33 PINE PT RD , SCARBOROUGH, ME 04074",ELISSA ENGLISH,10/17/2016
207,MAINELY GLASS INC.,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20160661+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"840 HORSEBACK ROAD , LEVANT, ME 04456",SHIMON RUIMY,02/22/2016
208,"MAINELY GLOVES, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20113741DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"PO BOX 9785 , PORTLAND, ME 04104 5085",CHRISTOPHER B BRANSON,06/24/2011
209,MAINELY GOAT RESCUE,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20180404ND,GOOD STANDING,NONPROFIT CORPORATION       (T13-B),"340 SNOW POND RD , OAKLAND, ME 04963",DANIELLE BOUTIN,03/28/2018
210,MAINELY GOAT SOAP,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20160127+M,ACTIVE,INDIVIDUAL,"31 HARMANY LANE , ROCKPORT, ME 04856","ROBERT LOVELL, OWNER",04/11/2016
211,MAINELY GOLF CONSTRUCTION,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19991830+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"209 MAIN STREET , FREEPORT, ME 04032",JONATHAN M. DAVIS,04/01/1999
212,MAINELY GOURMET FOODS & GIFTS L.L.C.,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19980126DC,CANCELLED,LIMITED LIABILITY COMPANY   (DOMESTIC),"70 LUPINE LANE , WELLS, ME 04090",JANICE L. WOJCIAK,09/27/1997
213,MAINELY GOURMET,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=19870240+M,EXPIRED,INDIVIDUAL,"11 MCKEEN STREET , BRUNSWICK, ME 04011",MICHELLE DONOVAN,03/30/1987
214,MAINELY GOURMET,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20080199+M,EXPIRED,INDIVIDUAL,"222 LINDSEY ROAD , WELLS, ME 04090",JACQUELINE HARMON,02/27/2008
215,"MAINELY GRASS HOLDINGS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20175562DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"84 MARGINAL WAY, SUITE 600,   ,  PORTLAND, ME 04101 2480",AARON M. PRATT,05/10/2017
216,"MAINELY GRASS OF NORTHEASTERN MA, INC.",FORMER,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20150994+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"408 US ROUTE ONE,   2ND FLOOR,  YORK, ME 03909",DAVID J. BALLOU,05/01/2015
217,"MAINELY GRASS OF SOUTHEASTERN MA, INC.",FORMER,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20130466+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"408 US ROUTE ONE,   2ND FLOOR,  YORK, ME 03909",DAVID J. BALLOU,01/03/2013
218,"MAINELY GRASS, INC.",FORMER,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19982352+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"408 US ROUTE ONE,   2ND FLOOR,  YORK, ME 03909",DAVID J. BALLOU,05/14/1998
219,"MAINELY GREEN CLEANING SERVICES, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20153271DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"62 SAINT LAWRENCE STREET , PORTLAND, ME 04101",MARCELLA MAKINEN,02/25/2015
220,MAINELY GREEN CLEANING,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20080073+M,EXPIRED,INDIVIDUAL,"150 TALBOT AVENUE , ROCKLAND, ME 04841",PAUL R. DOSTIE,09/26/2007
221,"MAINELY GREEN, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20172145DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"11 FOLEY AVE , SACO, ME 04072",RODERICK POTTER,11/10/2016
222,MAINELY GREENERY LLP,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20200001DP,GOOD STANDING,LIMITED LIABILITY PARTNERSHIP   (DOMESTIC),"264 LOWER GUINEA RD. , LEBANON, ME 04027",JENNIFER GEE,09/11/2019
223,MAINELY GREENS,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20120503ND,ADMINISTRATIVELY DISSOLVED,NONPROFIT CORPORATION       (T13-B),"61 WOODVILLE ROAD , FALMOUTH, ME 04105",EINAR G ANDERSEN,05/22/2012
224,MAINELY GREYHOUNDS,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19940049ND,ADMINISTRATIVELY SUSPENDED,NONPROFIT CORPORATION       (T13-B),"RFD #2, BOX 4050 , OXFORD, ME 04270",HOLLIE FROST,08/11/1993
225,MAINELY GROCERY STORE,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20141162+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"92 NORTHERN AVE , AUGUSTA, ME 04330",YOUSSOF ZAMAT,06/05/2014
226,MAINE-LY HARMONY,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19860247ND,GOOD STANDING,NONPROFIT CORPORATION       (T13-B),"679 WEST ROAD , BELGRADE, ME 04917",JANET DUNHAM,12/17/1985
227,"MAINE-LY HAY, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20141773DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"149 SLIPP RD , EMBDEN, ME 04958",JENNIFER FOWLER,11/21/2013
228,MAINE-LY HEALTHY VENDING LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20121127DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"315 HATCHET MOUNTAIN RD,   ,  HOPE, ME 04847","UNITED STATES CORPORATION AGENTS, INC.",10/25/2011
229,MAINE-LY HEARING,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20100056+M,ACTIVE,LTD. LIABILITY CO.,"600 PLEASANT STREET, WATERTOWN, MA 02472","MASS. AUDIOLOGY, LLC",10/01/2009
230,"MAINE-LY HEATING OIL, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20111132DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"57 NORTHEAST RD. , STANDISH, ME 04084",KIMBERLY J. POMERLEAU,10/28/2010
231,"MAINE-LY HISTORIC HOMES & GARDENS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20161264DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"415 CONGRESS STREET, STE 202A,   ,  PORTLAND, ME 04101",NORTHWEST REGISTERED AGENT LLC,09/23/2015
232,"MAINE-LY HOME ACQUISITIONS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20160027FC,FOREIGN AUTHORITY REVOKED,LIMITED LIABILITY COMPANY                 (FOREIGN),"415 CONGRESS STREET, STE 202A,   PORTLAND, ME 04101",REGISTERED AGENTS INC,07/14/2015
233,MAINE-LY HOME IMPROVEMENTS CORP.,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19870530+D,ADMINISTRATIVELY SUSPENDED,BUSINESS CORPORATION,"125 OCEAN STREET , P.O. BOX 2401, SOUTH PORTLAND, ME 04106",HERBERT J. LUDWIG,08/15/1986
234,MAINE-LY HYDROPONICS,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19980802+D,GOOD STANDING,BUSINESS CORPORATION,"163 VALLEY FARM RD , NEW GLOUCESTER, ME 04260",SCOTT A. HOWARD,10/28/1997
235,"MAINELY HAIR, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19951299+D,ADMINISTRATIVELY SUSPENDED,BUSINESS CORPORATION,"894 ORCHARD DRIVE , WILTON, ME 04294",LOIS J. FLETCHER,01/03/1995
236,"MAINELY HANDRAILS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20184778DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"315 HATCHET MOUNTAIN RD,   ,  HOPE, ME 04847","UNITED STATES CORPORATION AGENTS, INC.",03/09/2018
237,"MAINELY HARDSCAPES, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20161091DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"PO BOX 1401 , 84 HARLOW STREET, BANGOR, ME 04402 1401",CHRISTOPHER J AUSTIN,09/15/2015
238,MAINELY HARDSCAPES,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20120742+D,DISSOLVED,BUSINESS CORPORATION,"96 WHITCOMB ROAD , HOLDEN, ME 04429","COREY P. THIBODEAU, PRESIDENT",03/02/2012
239,"MAINELY HEALTH AND NUTRITION, L.L.C.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20134106DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"31 PINE RIDGE RD , SACO, ME 04072",MARY MOSKOWITZ,05/17/2013
240,MAINELY HEALTH AND SAFETY LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20187046DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"315 HATCHET MOUNTAIN RD,   ,  HOPE, ME 04847","UNITED STATES CORPORATION AGENTS, INC.",06/12/2018
241,MAINELY HEALTHCARE RECEIVABLES,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20081597+D,GOOD STANDING,BUSINESS CORPORATION,"P.O. BOX 559,   ,  WATERVILLE, ME 04903 0559",MICHAEL F. PHILLIPS,05/07/2008
242,"MAINELY HEALTHY MOUTHS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20100325ND,ADMINISTRATIVELY DISSOLVED,NONPROFIT CORPORATION       (T13-B),"PO BOX 660 , SOUTH BERWICK, ME 03901",ANGELA ESTES RDH,03/05/2010
243,"MAINELY HEAT PUMPS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20152345DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"315 HATCHET MOUNTAIN RD,   ,  HOPE, ME 04847","UNITED STATES CORPORATION AGENTS, INC.",12/18/2014
244,MAINELY HELPERS INC.,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20111057+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"29 JOHNSON MILL RD APT 2 , ORRINGTON, ME 04474",GLENN MARTIN,05/02/2011
245,MAINELY HELPING HANDS,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=19930037+M,EXPIRED,INDIVIDUAL,"RR #1, BOX 4584 , CAMDEN, ME 04843",RANDY DICKSON,08/13/1992
246,"MAINELY HEMP, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20196672DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"28 WOODBURY STREET , PORTLAND, ME 04103",RYAN CONANT,05/02/2019
247,"MAINELY HERBALS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19981011+D,GOOD STANDING,BUSINESS CORPORATION,"P.O. BOX 99 , YORK HARBOR, ME 03909",JAMES B. BARTLETT,12/03/1997
248,MAINELY HERBS,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20083392DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"P.O. BOX 1665 , SCARBOROUGH, ME 04070 1665",ELIZABETH L. PEOPLES,05/01/2008
249,MAINELY HOLDINGS LIMITED PARTNERSHIP,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20090000LP,ADMINISTRATIVELY DISSOLVED,LIMITED PARTNERSHIP,"42 BRIANS WAY , NORRIDGEWOCK, ME 04957",ELIZABETH KRUSE,09/04/2008
250,MAINELY HOME IMPROVEMENT,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20100636+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"13 BENSON HILL ROAD , WEST PARIS, ME 04289",PHILIP M. ADAMS,01/27/2010
251,MAINELY HOME REPAIRS,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20110124+M,ACTIVE,INDIVIDUAL,"P.O. BOX 233 , MONMOUTH, ME 04259",JOSEPH M. SEARS,12/09/2010
252,"MAINELY HOMES & FARMS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20060391DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"6 CENTRAL MAINE CROSSING,   ,  GARDINER, ME 04345",GREGORY J FARRIS,08/05/2005
253,MAINELY HOMES LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20161719DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"P. O. BOX 1051,   ,  AUGUSTA, ME 04332 1051",LESTER F. WILKINSON,10/21/2015
254,"MAINELY HOMES, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19872522+D,ADMINISTRATIVELY SUSPENDED,BUSINESS CORPORATION,"635 FOREST AVENUE , PORTLAND, ME 04104",KENNETH P. ALTSHULER,04/27/1987
255,"MAINELY HOURS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20081018+D,GOOD STANDING,BUSINESS CORPORATION,"P.O. BOX 247 , DAMARISCOTTA, ME 04543",JENNIFER G. VILLENEUVE,01/18/2008
256,"MAINELY HOUSE, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20190605FC,GOOD STANDING,LIMITED LIABILITY COMPANY                 (FOREIGN),"128 STATE ST #3,   AUGUSTA, ME 04330",C T CORPORATION SYSTEM,12/12/2018
257,"MAINELY HRT, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20141924DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"124 GRAY ROAD, #B , GORHAM, ME 04038 2605",TIMOTHY J. THORSEN,12/02/2013
258,"MAINELY HYDRO, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20153517DC,CANCELLED,LIMITED LIABILITY COMPANY   (DOMESTIC),"938 MOOSEHEAD TRAIL , JACKSON, ME 04921",BRITON CALLAHAN,03/10/2015
259,MAINELYHIKING LLC,FORMER,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20071674DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"127 SECOND STREET APT.2 , HALLOWELL, ME 04347",JEFFREY D. WOOD,12/14/2006
260,MHBI MAINELY HOME & BUILDING INSPECTIONS,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20020006+M,EXPIRED,INDIVIDUAL,"800 METHODIST ROAD , WESTBROOK, ME 04092",ANTHONY R. DICKSON,07/16/2001
261,DAVE GOVES MAINE-LY IMPORTS,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=19970211+M,EXPIRED,PARTNERSHIP,"23 SUNRISE STREET, AUGUSTA, ME 04330","""DAVE GOVES MAINE-LY IMPORTS""",12/23/1996
262,MAINE-LY ICE CREAM,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=19910214+M,EXPIRED,INDIVIDUAL,"RR 1 BOX 550 , ROCKPORT, ME 04856",RICHARD T. SIMIS,04/25/1991
263,"MAINE-LY IMPORTS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19971497+D,EXCUSED,BUSINESS CORPORATION,"PO BOX 1051,   ,  AUGUSTA, ME 04332 1051",DAVID M LIPMAN,01/21/1997
264,MAINE-LY INK INCORPORATED,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20091149+D,DISSOLVED,BUSINESS CORPORATION,"14 PARK STREET , ORONO, ME 04473",AARON STOPAKEWICZ,04/21/2009
265,MAINE-LY INSPECTION SERVICES INC.,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20150476+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"23 SUNFLOWER LN , SIDNEY, ME 04330",KAREN ROSS,12/15/2014
266,MAINE-LY INSPECTION SERVICES LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20093053DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"23 SUNFLOWER LANE , SIDNEY, ME 04330",KAREN DOIRON,05/18/2009
267,MAINE-LY IRISH,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20030258+M,EXPIRED,INDIVIDUAL,"2 FENWAY ROAD , CAPE ELIZABETH, ME 04107","MICHAEL J. JOYCE, II",04/23/2003
268,"MAINELY ICE CREAM, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20154514DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"P.O. BOX 4600,   ,  PORTLAND, ME 04112 4600",ADRIAN P. KENDALL,05/11/2015
269,"MAINELY ICE, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20170412DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"PO BOX 144 , GREENE, ME 04236","INTEGRATED TAX CONSULTANTS, LLC",07/27/2016
270,MAINELY ICE,MARK,https://icrs.informe.org/nei-sos-icrs/ICRS?MarkSumm=20190095+M,ACTIVE,OTHER,"34 1ST ST., LEWISTON, ME 04240","MAINELY ICE, LLC",01/07/2019
271,"MAINELY IDEAS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20154014DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"315 HATCHET MOUNTAIN RD,   ,  HOPE, ME 04847","UNITED STATES CORPORATION AGENTS, INC.",04/08/2015
272,MAINELY IMAGE WEAR INC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20160423+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"PO BOX 325 , AUBURN, ME 04212",JACK HARLOW,11/30/2015
273,MAINELY INDEPENDENT,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20010962+D,ADMINISTRATIVELY DISSOLVED,BUSINESS CORPORATION,"3 LINCOLN STREET , KENNEBUNK, ME 04043",JOHN R. BEAR,11/30/2000
274,"MAINELY INFUSIONS, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20181720DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"179 LISBON STREET , LEWISTON, ME 04240",LEONARD I. SHARON,09/29/2017
275,"MAINELY INSPECTIONS, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20002269+D,DISSOLVED,BUSINESS CORPORATION,"24 MERRYWEATHER LANE , BOOTHBAY, ME 04537",LLOYD C. OLSON,05/19/2000
276,"MAINELY INTENSIVE THERAPIES, L.L.C.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20102899DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"P.O. BOX 1238 , SCARBOROUGH, ME 04070 0488",GWENDOLYN SIMONS,04/21/2010
277,MAINELY INTERIORS,ASSUMED,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20081252+D,GOOD STANDING,BUSINESS CORPORATION,"PO BOX 145 , STILLWATER, ME 04489",DEB DALL,03/04/2008
278,"MAINELY INTERNET, INC.",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19970720+F,FOREIGN AUTHORITY REVOKED,BUSINESS CORPORATION                    (FOREIGN),"PO BOX 198 , LITCHFIELD, ME 04350",ELIZABETH ROBERTSON,02/03/1997
279,"MAINELY INVESTMENT PROPERTIES, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20042628DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"128 STATE STREET, #3,   ,  AUGUSTA, ME 04330",KENNETH A KEENE,04/28/2004
280,MAINELY INVESTMENTS,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=19890255+D,GOOD STANDING,BUSINESS CORPORATION,"55 STROUDWATER STREET,   ,  WESTBROOK, ME 04092",STEVEN W. RAND,09/09/1988
281,MAINELY IT LLC,LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20197625DC,GOOD STANDING,LIMITED LIABILITY COMPANY   (DOMESTIC),"385 RIVER RD , BENTON, ME 04901",FREDERICK FOWLER,06/17/2019
282,"MAINELYI REPAIR, LLC",LEGAL,https://icrs.informe.org/nei-sos-icrs/ICRS?CorpSumm=20153875DC,ADMINISTRATIVELY DISSOLVED,LIMITED LIABILITY COMPANY   (DOMESTIC),"P.O. BOX 368 , LISBON FALLS, ME 04252","JOHN D. CLIFFORD, V",04/02/2015
